ANNO_ACCADEMICO;COD_ATENEO;NOME_ATENEO;CODICE_INTERVENTO;DESCRIZIONE_INTERVENTO;INTERVENTI_LAUREA;INTERVENTI_LAUREA_EXTRA_UE;INTERVENTI_DOTTORATO;INTERVENTI_SPECIALIZZAZIONE;INTERVENTI_MASTER_PERFEZIONAMENTO
2009-2010;01601;Bergamo - Università degli studi;093   ;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;0;0;0;0;0
2009-2010;01601;Bergamo - Università degli studi;094   ;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;0;0;0;0;0
2009-2010;01601;Bergamo - Università degli studi;101   ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati;64;5;2;0;0
2009-2010;01601;Bergamo - Università degli studi;104   ;Altri interventi di tipo finanziario - N. altri sussidi erogati;8;5;0;0;0
2009-2010;01601;Bergamo - Università degli studi;111a  ;Borse di studio post-lauream - N. borse finanziate con fondi MIUR;;;58;0;0
2009-2010;01601;Bergamo - Università degli studi;111b  ;Borse di studio post-lauream - N. borse finanziate da altri Ministeri;;;1;0;28
2009-2010;01601;Bergamo - Università degli studi;112   ;Borse di studio post-lauream - N. borse finanziate dall'Ateneo con fondi propri;;;32;0;6
2009-2010;01601;Bergamo - Università degli studi;113   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri Atenei;;;7;0;0
2009-2010;01601;Bergamo - Università degli studi;114   ;Borse di studio post-lauream - N. borse finanziate con fondi UE;;;2;0;0
2009-2010;01601;Bergamo - Università degli studi;115   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri enti pubblici;;;2;0;0
2009-2010;01601;Bergamo - Università degli studi;116   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con enti privati;;;45;0;1
2009-2010;01701;Brescia - Università degli studi;030   ;Borse di studio - N. borse di studio concesse con fondi dell'ATENEO;0;0;0;0;0
2009-2010;01701;Brescia - Università degli studi;061   ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita);178;3;42;0;0
2009-2010;01701;Brescia - Università degli studi;061c  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti SENZA borsa ;1;0;0;0;0
2009-2010;01701;Brescia - Università degli studi;061m  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti in mobilità extraeuropea ;24;0;0;0;0
2009-2010;01701;Brescia - Università degli studi;061p  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui dottorandi percettori di borsa che usufruiscono della maggiorazione del 50% ;;;42;;
2009-2010;01701;Brescia - Università degli studi;063   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata);60;11;0;0;0
2009-2010;01701;Brescia - Università degli studi;064   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata)- di cui studenti provenienti da Paesi extraeuropei ;11;11;0;0;0
2009-2010;01701;Brescia - Università degli studi;073   ;Interventi a favore di studenti in situazione di handicap - N. contributi finanziari;0;0;0;0;0
2009-2010;01701;Brescia - Università degli studi;074   ;Interventi a favore di studenti in situazione di handicap - N. interventi non finanziari;0;0;0;0;0
2009-2010;01701;Brescia - Università degli studi;081   ;Attività di collaborazione a tempo parziale - N. collaborazioni;869;89;0;0;0
2009-2010;01701;Brescia - Università degli studi;091   ;Posti alloggio e contributi-alloggio - N. domande posti alloggio;0;0;0;0;0
2009-2010;01701;Brescia - Università degli studi;092   ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;0;0;0;0;0
2009-2010;01701;Brescia - Università degli studi;093   ;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;0;0;0;0;0
2009-2010;01701;Brescia - Università degli studi;094   ;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;0;0;0;0;0
2009-2010;01701;Brescia - Università degli studi;101   ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati;15;7;0;0;0
2009-2010;01701;Brescia - Università degli studi;104   ;Altri interventi di tipo finanziario - N. altri sussidi erogati;0;0;0;0;0
2009-2010;01701;Brescia - Università degli studi;111a  ;Borse di studio post-lauream - N. borse finanziate con fondi MIUR;;;23;0;0
2009-2010;01701;Brescia - Università degli studi;111b  ;Borse di studio post-lauream - N. borse finanziate da altri Ministeri;;;0;0;0
2009-2010;01701;Brescia - Università degli studi;112   ;Borse di studio post-lauream - N. borse finanziate dall'Ateneo con fondi propri;;;78;0;0
2009-2010;01701;Brescia - Università degli studi;113   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri Atenei;;;11;0;0
2009-2010;01701;Brescia - Università degli studi;114   ;Borse di studio post-lauream - N. borse finanziate con fondi UE;;;2;0;0
2009-2010;01701;Brescia - Università degli studi;115   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri enti pubblici;;;2;0;0
2009-2010;01701;Brescia - Università degli studi;116   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con enti privati;;;18;0;0
2009-2010;01801;Pavia - Università degli studi;030   ;Borse di studio - N. borse di studio concesse con fondi dell'ATENEO;298;2;97;11;0
2009-2010;01801;Pavia - Università degli studi;061   ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita);388;1;8;0;0
2009-2010;01801;Pavia - Università degli studi;061c  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti SENZA borsa ;3;0;1;0;0
2009-2010;01801;Pavia - Università degli studi;061m  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti in mobilità extraeuropea ;29;0;0;0;0
2009-2010;01801;Pavia - Università degli studi;061p  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui dottorandi percettori di borsa che usufruiscono della maggiorazione del 50% ;;;4;;
2009-2010;01801;Pavia - Università degli studi;063   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata);247;11;1;0;0
2009-2010;01801;Pavia - Università degli studi;064   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata)- di cui studenti provenienti da Paesi extraeuropei ;21;0;0;0;0
2009-2010;01801;Pavia - Università degli studi;073   ;Interventi a favore di studenti in situazione di handicap - N. contributi finanziari;0;0;0;0;0
2009-2010;01801;Pavia - Università degli studi;074   ;Interventi a favore di studenti in situazione di handicap - N. interventi non finanziari;692;0;0;12;12
2009-2010;01801;Pavia - Università degli studi;081   ;Attività di collaborazione a tempo parziale - N. collaborazioni;425;44;0;0;0
2009-2010;01801;Pavia - Università degli studi;091   ;Posti alloggio e contributi-alloggio - N. domande posti alloggio;0;0;0;0;0
2009-2010;01801;Pavia - Università degli studi;092   ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;0;0;0;0;0
2009-2010;01801;Pavia - Università degli studi;093   ;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;0;0;0;0;0
2009-2010;01801;Pavia - Università degli studi;094   ;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;0;0;0;0;0
2009-2010;01801;Pavia - Università degli studi;101   ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati;17;4;0;0;0
2009-2010;01801;Pavia - Università degli studi;104   ;Altri interventi di tipo finanziario - N. altri sussidi erogati;0;0;0;0;0
2009-2010;01801;Pavia - Università degli studi;111a  ;Borse di studio post-lauream - N. borse finanziate con fondi MIUR;;;365;0;0
2009-2010;01801;Pavia - Università degli studi;111b  ;Borse di studio post-lauream - N. borse finanziate da altri Ministeri;;;0;0;0
2009-2010;01801;Pavia - Università degli studi;112   ;Borse di studio post-lauream - N. borse finanziate dall'Ateneo con fondi propri;;;8;0;0
2009-2010;01801;Pavia - Università degli studi;113   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri Atenei;;;7;0;0
2009-2010;01801;Pavia - Università degli studi;114   ;Borse di studio post-lauream - N. borse finanziate con fondi UE;;;0;0;0
2009-2010;01801;Pavia - Università degli studi;115   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri enti pubblici;;;27;0;0
2009-2010;01801;Pavia - Università degli studi;116   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con enti privati;;;13;0;0
2009-2010;01802;Pavia - Istituto universitario di studi superiori;030   ;Borse di studio - N. borse di studio concesse con fondi dell'ATENEO;0;0;0;0;0
2009-2010;01802;Pavia - Istituto universitario di studi superiori;061   ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita);0;0;9;0;0
2009-2010;01802;Pavia - Istituto universitario di studi superiori;061c  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti SENZA borsa ;0;0;0;0;0
2009-2010;01802;Pavia - Istituto universitario di studi superiori;061m  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti in mobilità extraeuropea ;0;0;3;0;0
2009-2010;01802;Pavia - Istituto universitario di studi superiori;061p  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui dottorandi percettori di borsa che usufruiscono della maggiorazione del 50% ;;;9;;
2009-2010;01802;Pavia - Istituto universitario di studi superiori;063   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata);0;0;16;0;0
2009-2010;01802;Pavia - Istituto universitario di studi superiori;064   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata)- di cui studenti provenienti da Paesi extraeuropei ;0;0;8;0;0
2009-2010;01802;Pavia - Istituto universitario di studi superiori;073   ;Interventi a favore di studenti in situazione di handicap - N. contributi finanziari;0;0;0;0;0
2009-2010;01802;Pavia - Istituto universitario di studi superiori;074   ;Interventi a favore di studenti in situazione di handicap - N. interventi non finanziari;0;0;0;0;0
2009-2010;01802;Pavia - Istituto universitario di studi superiori;081   ;Attività di collaborazione a tempo parziale - N. collaborazioni;0;0;0;0;0
2009-2010;01802;Pavia - Istituto universitario di studi superiori;091   ;Posti alloggio e contributi-alloggio - N. domande posti alloggio;0;0;14;0;50
2009-2010;01802;Pavia - Istituto universitario di studi superiori;092   ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;0;0;14;0;42
2009-2010;01802;Pavia - Istituto universitario di studi superiori;093   ;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;0;0;0;0;50
2009-2010;01802;Pavia - Istituto universitario di studi superiori;094   ;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;0;0;0;0;27
2009-2010;01802;Pavia - Istituto universitario di studi superiori;101   ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati;0;0;0;0;0
2009-2010;01802;Pavia - Istituto universitario di studi superiori;104   ;Altri interventi di tipo finanziario - N. altri sussidi erogati;0;0;0;0;0
2009-2010;01802;Pavia - Istituto universitario di studi superiori;111a  ;Borse di studio post-lauream - N. borse finanziate con fondi MIUR;;;3;0;0
2009-2010;01802;Pavia - Istituto universitario di studi superiori;111b  ;Borse di studio post-lauream - N. borse finanziate da altri Ministeri;;;0;0;0
2009-2010;01802;Pavia - Istituto universitario di studi superiori;112   ;Borse di studio post-lauream - N. borse finanziate dall'Ateneo con fondi propri;;;21;0;11
2009-2010;01802;Pavia - Istituto universitario di studi superiori;113   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri Atenei;;;3;0;0
2009-2010;01802;Pavia - Istituto universitario di studi superiori;114   ;Borse di studio post-lauream - N. borse finanziate con fondi UE;;;0;0;22
2009-2010;01802;Pavia - Istituto universitario di studi superiori;115   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri enti pubblici;;;0;0;0
2009-2010;01802;Pavia - Istituto universitario di studi superiori;116   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con enti privati;;;18;0;6
2009-2010;02101;Bolzano - Libera Università;030   ;Borse di studio - N. borse di studio concesse con fondi dell'ATENEO;0;0;0;0;0
2009-2010;02101;Bolzano - Libera Università;061   ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita);169;18;0;0;0
2009-2010;02101;Bolzano - Libera Università;061c  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti SENZA borsa ;28;2;0;0;0
2009-2010;02101;Bolzano - Libera Università;061m  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti in mobilità extraeuropea ;24;1;0;0;0
2009-2010;02101;Bolzano - Libera Università;061p  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui dottorandi percettori di borsa che usufruiscono della maggiorazione del 50% ;;;0;;
2009-2010;02101;Bolzano - Libera Università;063   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata);107;40;0;0;0
2009-2010;02101;Bolzano - Libera Università;064   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata)- di cui studenti provenienti da Paesi extraeuropei ;21;21;0;0;0
2009-2010;02101;Bolzano - Libera Università;073   ;Interventi a favore di studenti in situazione di handicap - N. contributi finanziari;N;0;0;0;0
2009-2010;02101;Bolzano - Libera Università;074   ;Interventi a favore di studenti in situazione di handicap - N. interventi non finanziari;0;0;0;0;0
